Unnamed: 0,Buenos Aires,Rio Negro,Chubut,Santa Cruz,Tierra del Fuego,Otros puertos
1989,342743.8,9933.6,74002.7,38599.200000000004,25752.3,12108.2
1990,346038.2,12863.8,104690.9,69599.5,41417.6,8316.100000000093
1991,390024.60000000003,7993.4,135060.0,65521.0,96130.5,8874.863000000385
1992,376120.4,8130.799999999999,140853.2,90186.20000000001,112565.4,3152.864000000083
1993,413168.1,13188.3,173816.0,195824.1,167416.3,4053.273999999976
1994,386749.3,30938.7,198952.0,249122.50000000003,116258.0,2293.1549999997487
1995,506168.2,49203.9,214286.09999999998,253879.0,124804.5,310.4
1996,544009.2,32040.5,270759.6,276272.30000000005,124376.2,1332.6
1997,514327.7,29963.5,397309.70000000007,293672.39999999997,107418.5,371.05700000007636
1998,406626.0,17247.4,372276.6,201636.6,122015.1,350.2
1999,359970.30000000005,18180.3,351703.9,183072.09999999998,106414.1,
2000,302877.60000000003,14849.8,277630.30000000005,152618.4,109331.20000000001,
2001,388178.80000000005,23295.5,222956.80000000002,166817.09999999998,89299.90000000001,1.1
2002,402961.30000000005,15402.8,233208.2,139982.6,97433.6,5.7
2003,375162.5,28684.0,204282.6,134303.4,97684.40000000001,
2004,436052.2,30292.5,219227.1,61995.49999999999,128205.2,446.1
2005,465894.99999999994,25110.9,202843.3,80185.0,90472.7,264.5
2006,487055.10000000003,21206.0,252961.2,207131.8,103610.4,240.1
2007,458702.70000000007,21866.1,205740.6,145640.9,79658.9,611.8
2008,497338.5,21869.0,186694.4,130861.59999999999,94333.5,2250.9
2009,446814.5,21548.1,145786.7,56652.799999999996,101575.5,0.0
2010,471310.30000000005,22776.1,142895.8,47973.600000000006,79693.7,7.5
2011,418147.3999999999,18621.5,161662.0,72082.09999999999,63171.9,0.0
2012,364693.11899999995,15762.094000000001,145360.81999999998,97167.59700000001,69215.367,7.5360000000000005
2013,471264.32599999994,14009.21,158192.36899999998,138166.871,42496.567999999985,15.765999999999998
2014,439448.325,15289.829000000002,185541.836,103758.60299999999,46250.710999999996,3.630000000000001
2015,452014.1310000004,11085.143999999997,160272.78700000004,90079.13200000001,53625.530000000006,
2016,396749.31500000035,10182.095000000001,175621.167,75206.75900000003,47964.92200000001,0.679
2017,396358.6420000002,12216.722000000002,241045.37799999982,87843.69499999998,41496.33,0.0
2018,367702.4019999998,13706.608,255677.52299999996,100877.63600000003,53691.7,0.0
2019,384639.7670000004,14580.851999999999,235639.152,96840.46499999997,49524.36500000002,0.0
2020,432521.56599999964,13124.082000000004,229974.397,64469.74699999999,49666.60800000005,0.0
2021,389581.1090000001,15121.905000000008,253973.76699999996,89672.054,49645.07000000001,58.729
2022,408381.7329999999,12578.966,242075.63899999997,92996.22000000002,41861.21599999999,0.0
2023,412583.5259999999,6738.051,240724.151,90911.86400000002,28738.406000000003,
