País,Decenio de 1980,Decenio de 1990,Decenio de 2000,Decenio de 2010,2017,2018,2019,2020,Porcentaje del total (2020)
India,0.5,0.58,0.84,1.43,1.59,1.7,1.79,1.8,16
China,0.54,1.46,2.11,2.03,2.18,1.96,1.84,1.46,13
Bangladesh,0.44,0.5,0.86,1.08,1.16,1.22,1.24,1.25,11
Myanmar,0.14,0.15,0.48,0.85,0.9,1.01,1.06,1.15,10
Uganda,0.19,0.22,0.33,0.44,0.4,0.44,0.39,0.41,4
Indonesia,0.27,0.31,0.31,0.47,0.47,0.66,0.71,0.49,4
Camboya,0.05,0.09,0.34,0.46,0.47,0.42,0.4,0.41,4
República Unida de Tanzania,0.25,0.29,0.3,0.33,0.31,0.3,0.38,0.41,4
Nigeria,0.1,0.1,0.21,0.35,0.42,0.39,0.37,0.35,3
Egipto,0.12,0.23,0.27,0.25,0.26,0.27,0.3,0.32,3
Federación de Rusia,0.09,0.26,0.22,0.27,0.27,0.27,0.25,0.28,2
Brasil,0.2,0.18,0.24,0.23,0.22,0.22,0.2,0.22,2
República Democrática del Congo,0.13,0.17,0.23,0.22,0.23,0.23,0.23,0.21,2
Malawi,0.07,0.06,0.06,0.14,0.2,0.22,0.15,0.17,1
México,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11,1
Viet Nam,0.11,0.14,0.21,0.16,0.16,0.16,0.15,0.15,1
Pakistán,0.07,0.13,0.12,0.13,0.14,0.14,0.14,0.15,1
Filipinas,0.26,0.19,0.15,0.18,0.16,0.16,0.15,0.15,1
Tailandia,0.1,0.18,0.21,0.19,0.19,0.14,0.13,0.13,1
Malí,0.07,0.09,0.1,0.1,0.11,0.09,0.11,0.12,1
Chad,0.05,0.08,0.08,0.1,0.11,0.11,0.11,0.11,1
Zambia,0.06,0.07,0.09,0.1,0.1,0.1,0.1,0.11,1
Irán (República Islámica del),0.01,0.09,0.07,0.09,0.1,0.1,0.1,0.1,1
Kenya,0.09,0.18,0.14,0.14,0.13,0.14,0.13,0.13,1
Mozambique,0.0,0.01,0.02,0.09,0.1,0.1,0.12,0.1,1
Principales 25 productores,4.02,4.06,8.07,9.95,10.52,10.64,10.74,10.13,88
Total del resto de los productores,1.67,1.19,1.19,1.31,1.35,1.35,1.34,1.34,12
Todos los productores,5.7,7.05,9.26,11.26,11.88,11.99,12.09,11.47,100
"Capturas en aguas continentales, por región",,,,,,,,,
Asia,2.87,4.17,5.98,7.39,7.85,7.9,7.89,7.29,64
África,1.47,1.89,2.33,2.87,3.01,3.02,3.24,3.21,28
Américas,0.56,0.54,0.58,0.57,0.59,0.64,0.55,0.53,5
Europa,0.24,0.36,0.36,0.39,0.41,0.43,0.49,0.42,4
Oceanía,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0
Otros,0.51,—,—,—,—,—,—,—,—
Total mundial,5.7,7.05,9.26,11.26,11.88,11.99,12.09,11.47,100
