País o territorio,Decenio de 1980,Decenio de 1990,Decenio de 2000,Decenio de 2010,2017,2018,2019,2020,Porcentaje del total (2020),Unnamed: 10,Unnamed: 11
China,3.82,9.96,12.43,13.24,13.19,12.68,12.15,11.77,14.93844396,,
Indonesia,1.74,3.03,4.37,5.98,6.56,6.71,6.66,6.43,8.160934129,,
Perú (total),4.14,10.1,9.07,5.13,4.13,7.15,4.8,5.61,7.120192918,,47.18872953
Perú (excluida la anchoveta),2.5,2.54,0.95,1.01,0.83,0.96,1.29,1.22,1.54841985,,
Federación de Rusia,4.53,5.15,4.75,4.24,4.72,4.99,4.81,4.23,5.368701612,,
Estados Unidos de América,4.12,4.36,4.11,4.16,4.53,4.47,4.41,4.21,5.34331768,,
India,1.69,2.6,2.95,3.55,3.94,3.87,3.67,3.71,4.708719381,,
Vietnam,0.53,0.94,1.72,2.01,2.0,2.15,2.19,2.37,3.007995939,,
Japón,10.59,6.72,4.51,3.28,3.1,2.85,2.48,2.45,3.109531666,,
Noruega,2.21,2.43,2.2,2.3,2.4,2.49,2.43,2.35,2.982612007,,
Chile (total),4.52,6.24,4.39,2.98,2.92,4.83,3.54,2.85,3.617210306,,
Chile (excluida la anchoveta),0.44,0.65,0.89,1.29,1.27,1.43,1.67,1.68,2.132250286,,
Filipinas,2.08,2.7,2.38,1.46,1.3,1.39,1.41,1.52,1.92917883,,
Tailandia,0.76,1.08,1.31,1.46,1.47,1.45,1.44,1.38,1.751491306,,
Malasia,0.95,1.09,1.31,1.46,1.54,1.45,1.46,1.52,1.92917883,,
República de Corea,2.18,2.25,1.78,1.56,1.39,1.47,1.41,1.38,1.751491306,,
Marruecos,0.46,0.62,0.72,1.04,1.21,1.19,1.19,1.19,1.510343952,,
México,1.21,1.18,1.31,1.42,1.46,1.41,1.29,1.2,1.523035918,,
Islandia,1.43,1.67,1.66,1.68,1.56,1.51,1.41,1.27,1.61187968,,
Myanmar,1.21,1.19,1.1,1.15,1.27,1.15,1.06,1.04,1.319964462,,
Argentina,0.41,0.99,0.94,0.79,0.81,0.82,0.8,0.82,1.040741211,,
España,0.11,0.12,0.15,0.29,0.35,0.52,0.88,0.79,1.002665313,,
Omán,1.86,1.71,1.05,0.9,0.94,0.89,0.83,0.83,1.053433177,,
Dinamarca,1.09,1.09,1.01,0.83,0.81,0.79,0.75,0.71,0.901129585,,
Canadá,0.11,0.23,0.31,0.55,0.69,0.72,0.73,0.7,0.888437619,,
Irán (República Islámica del),0.18,0.28,0.46,0.61,0.64,0.65,0.66,0.67,0.850361721,,
Bangladesh,0.23,0.31,0.55,0.69,0.72,0.73,0.73,0.7,0.888437619,,
Total de los 25 productores principales,50.49,66.99,65.87,63.9,64.32,67.23,63.41,63.17,80.0,,
Total del resto de los productores,21.61,14.86,15.72,15.89,17.16,17.27,16.69,15.62,20.0,,
Total mundial,72.1,81.86,81.59,79.79,81.48,84.51,80.09,78.79,100.0,,
