Entity,Año,Producción acuicola
Argentina,1960,0.0
Argentina,1961,0.0
Argentina,1962,1.0
Argentina,1963,2.0
Argentina,1964,4.0
Argentina,1965,5.0
Argentina,1966,5.0
Argentina,1967,8.0
Argentina,1968,11.0
Argentina,1969,15.0
Argentina,1970,19.0
Argentina,1971,23.0
Argentina,1972,27.0
Argentina,1973,31.0
Argentina,1974,36.0
Argentina,1975,42.0
Argentina,1976,49.0
Argentina,1977,57.0
Argentina,1978,67.0
Argentina,1979,78.0
Argentina,1980,90.0
Argentina,1981,105.0
Argentina,1982,123.0
Argentina,1983,143.0
Argentina,1984,150.0
Argentina,1985,270.0
Argentina,1986,270.0
Argentina,1987,353.0
Argentina,1988,353.0
Argentina,1989,300.0
Argentina,1990,300.0
Argentina,1991,350.0
Argentina,1992,402.0
Argentina,1993,707.0
Argentina,1994,763.0
Argentina,1995,1474.0
Argentina,1996,1322.0
Argentina,1997,1314.0
Argentina,1998,1040.0
Argentina,1999,1218.0
Argentina,2000,1784.0
Argentina,2001,1340.0
Argentina,2002,1457.0
Argentina,2003,1647.0
Argentina,2004,1848.0
Argentina,2005,2057.0
Argentina,2006,2528.0
Argentina,2007,2957.0
Argentina,2008,2700.0
Argentina,2009,2582.95
Argentina,2010,2654.35
Argentina,2011,3193.25
Argentina,2012,2958.42
Argentina,2013,3825.12
Argentina,2014,4027.0
Argentina,2015,3662.65
Argentina,2016,3673.48
Argentina,2017,3567.76
Argentina,2018,3205.31
Argentina,2019,2592.19
Argentina,2020,2084.5
Argentina,2021,3700.0
Argentina,2022,6022.0
Argentina,2023,5516.0
